Date	Population	Emp	Unemp	EmpPop	UnempPop	NILFPop
200802	26683.2	16678.7	1131.4	0.6251	0.0424	0.3325
200803	26710.7	16692.3	1183.7	0.6249	0.0443	0.3308
200804	26744.9	16772.3	1150.9	0.6271	0.0430	0.3298
200805	26775.5	17145.2	1149.8	0.6403	0.0429	0.3167
200806	26816.1	17371.6	1050.1	0.6478	0.0392	0.3130
200807	26849.8	17306.2	1176.7	0.6446	0.0438	0.3116
200808	26881.7	17290.6	1227.1	0.6432	0.0456	0.3111
200809	26918.4	17092.8	1053.8	0.6350	0.0391	0.3259
200810	26948.5	17151	1048.1	0.6364	0.0389	0.3247
200811	26976.8	16984.8	1148.4	0.6296	0.0426	0.3278
200812	27003.2	16889.9	1187.7	0.6255	0.0440	0.3305
200901	27030.7	16470.4	1451.1	0.6093	0.0537	0.3370
200902	27061	16489.5	1530	0.6093	0.0565	0.3341
200903	27090.1	16449.1	1630.6	0.6072	0.0602	0.3326
200904	27120.6	16536.4	1598.5	0.6097	0.0589	0.3313
200905	27152.3	16890.3	1629.4	0.6221	0.0600	0.3179
200906	27193.6	17078	1521.2	0.6280	0.0559	0.3160
200907	27226.9	16995.3	1682.4	0.6242	0.0618	0.3140
200908	27259.5	16974.8	1727.7	0.6227	0.0634	0.3139
200909	27297.2	16810.4	1430.1	0.6158	0.0524	0.3318
200910	27326.6	16824.7	1419.7	0.6157	0.0520	0.3324
200911	27353.1	16827	1488.5	0.6152	0.0544	0.3304
200912	27377.1	16719.4	1472.4	0.6107	0.0538	0.3355

